LPSD pixel # (0-127)	LPSD pitch (mm)	Tube # (1-8)	Tube  pitch	Xoffset	Yoffset	Zoffset	Module #	Pixel ID		IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location		ARCS Module No.			cz	sz	cy	sy	cx	sx	R11	R12	R13	R21	R22	R23	R31	R32	R33	Xoffset	Yoffset	Zoffset	Location	X_pixel	Y_pixel	Z_pixel				Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
0	7.86	1	27.4	-95.9	499.11	0	46	46080		46	2990.850	103.746	90.000	13.746	0.000	90.000		-710.680	2905.188	0.000		M8		46			0.971	0.238	1.000	0.000	0.000	1.000	0.971	0.000	0.238	0.238	0.000	-0.971	0.000	1.000	0.000	-803.833328	2882.400478	499.11	M8	2882.400478	449.11	-803.833328				2882.400	449.110	-803.833	3025.901572	8.856	105.406	0.000	-76.254	0.000
0	7.86	1	27.4	-95.9	499.11	0	47	47104		47	2990.850	99.534	90.000	9.534	0.000	90.000		-495.383	2949.539	0.000		M9		47			0.986	0.166	1.000	0.000	0.000	1.000	0.986	0.000	0.166	0.166	0.000	-0.986	0.000	1.000	0.000	-589.9583907	2933.654654	499.11	M9	2933.654654	449.11	-589.9583907				2933.655	449.110	-589.958	3025.901572	8.704	101.243	0.000	-80.466	0.000
0	7.86	1	27.4	-95.9	499.11	0	48	48128		48	2990.850	95.322	90.000	5.322	0.000	90.000		-277.410	2977.957	0.000		M10		48			0.996	0.093	1.000	0.000	0.000	1.000	0.996	0.000	0.093	0.093	0.000	-0.996	0.000	1.000	0.000	-372.8966354	2969.061911	499.11	M10	2969.061911	449.11	-372.8966354				2969.062	449.110	-372.897	3025.901572	8.602	97.079	0.000	-84.678	0.000
0	7.86	1	27.4	-95.9	499.11	0	49	49152		49	2990.850	91.110	90.000	1.110	0.000	90.000		-57.939	2990.289	0.000		M11		49			1.000	0.019	1.000	0.000	0.000	1.000	1.000	0.000	0.019	0.019	0.000	-1.000	0.000	1.000	0.000	-153.8205793	2988.430987	499.11	M11	2988.430987	449.11	-153.8205793				2988.431	449.110	-153.821	3025.901572	8.547	92.914	0.000	-88.890	0.000
0	7.86	1	27.4	-95.9	499.11	0	50	50176		50	2990.850	86.898	90.000	-3.102	0.000	90.000		161.846	2986.468	0.000		M12		50			0.999	-0.054	1.000	0.000	0.000	1.000	0.999	0.000	-0.054	-0.054	0.000	-0.999	0.000	1.000	0.000	66.08637971	2991.657254	499.11	M12	2991.657254	449.11	66.08637971				2991.657	449.110	66.086	3025.901572	8.538	88.749	0.000	-93.102	0.000
0	7.86	1	27.4	-95.9	499.11	0	51	51200		51	2990.850	82.686	90.000	-7.314	0.000	90.000		380.756	2966.515	0.000		M13		51			0.992	-0.127	1.000	0.000	0.000	1.000	0.992	0.000	-0.127	-0.127	0.000	-0.992	0.000	1.000	0.000	285.6363555	2978.723284	499.11	M13	2978.723284	449.11	285.6363555				2978.723	449.110	285.636	3025.901572	8.574	84.583	0.000	-97.314	0.000
0	7.86	1	27.4	-95.9	499.11	0	52	52224		52	2990.850	78.474	90.000	-11.526	0.000	90.000		597.609	2930.537	0.000		M14		52			0.980	-0.200	1.000	0.000	0.000	1.000	0.980	0.000	-0.200	-0.200	0.000	-0.980	0.000	1.000	0.000	503.6433902	2949.698945	499.11	M14	2949.698945	449.11	503.6433902				2949.699	449.110	503.643	3025.901572	8.657	80.419	0.000	-101.526	0.000
0	7.86	1	27.4	-95.9	499.11	0	53	53248		53	2990.850	73.376	90.000	-16.624	0.000	90.000		855.652	2865.841	0.000		M15		53			0.958	-0.286	1.000	0.000	0.000	1.000	0.958	0.000	-0.286	-0.286	0.000	-0.958	0.000	1.000	0.000	763.7599187	2893.276917	499.11	M15	2893.276917	449.11	763.7599187				2893.277	449.110	763.760	3025.901572	8.823	75.380	0.000	-106.624	0.000
0	7.86	1	27.4	-95.9	499.11	0	54	54272		54	2990.850	69.164	90.000	-20.836	0.000	90.000		1063.828	2795.256	0.000		M16		54			0.935	-0.356	1.000	0.000	0.000	1.000	0.935	0.000	-0.356	-0.356	0.000	-0.935	0.000	1.000	0.000	974.1998118	2829.366583	499.11	M16	2829.366583	449.11	974.1998118				2829.367	449.110	974.200	3025.901572	9.019	71.219	0.000	-110.836	0.000
0	7.86	1	27.4	-95.9	499.11	0	55	55296		55	2990.850	64.952	90.000	-25.048	0.000	90.000		1266.258	2709.571	0.000		M17		55			0.906	-0.423	1.000	0.000	0.000	1.000	0.906	0.000	-0.423	-0.423	0.000	-0.906	0.000	1.000	0.000	1179.377304	2750.172669	499.11	M17	2750.172669	449.11	1179.377304				2750.173	449.110	1179.377	3025.901572	9.275	67.060	0.000	-115.048	0.000
